,name,label
0,0_108,0
1,0_299,1
2,0_783,2
3,0_990,3
4,0_1244,4
5,0_205,0
6,0_439,1
7,0_518,2
8,0_1074,3
9,0_1390,4
10,0_136,0
11,0_378,1
12,0_743,2
13,0_1056,3
14,0_1330,4
15,0_206,0
16,0_706,1
17,0_495,2
18,0_1109,3
19,0_1195,4
20,0_285,0
21,0_419,1
22,0_869,2
23,0_1093,3
24,0_1356,4
25,0_160,0
26,0_619,1
27,0_858,2
28,0_1090,3
29,0_1232,4
30,0_86,0
31,0_411,1
32,0_874,2
33,0_993,3
34,0_1392,4
35,0_279,0
36,0_381,1
37,0_481,2
38,0_1099,3
39,0_1408,4
40,0_217,0
41,0_410,1
42,0_820,2
43,0_969,3
44,0_1293,4
45,0_76,0
46,0_721,1
47,0_815,2
48,0_1011,3
49,0_1363,4
50,0_57,0
51,0_677,1
52,0_916,2
53,0_950,3
54,0_1454,4
55,0_55,0
56,0_640,1
57,0_780,2
58,0_1057,3
59,0_1262,4
60,0_163,0
61,0_606,1
62,0_875,2
63,0_1097,3
64,0_1301,4
65,0_198,0
66,0_358,1
67,0_529,2
68,0_572,3
69,0_590,4
70,0_186,0
71,0_383,1
72,0_489,2
73,0_1065,3
74,0_1339,4
75,0_53,0
76,0_657,1
77,0_522,2
78,0_1052,3
79,0_1208,4
80,0_266,0
81,0_355,1
82,0_778,2
83,0_1105,3
84,0_1313,4
85,0_29,0
86,0_424,1
87,0_922,2
88,0_1050,3
89,0_1302,4
90,0_158,0
91,0_330,1
92,0_832,2
93,0_550,3
94,0_1211,4
95,0_277,0
96,0_406,1
97,0_788,2
98,0_1191,3
99,0_1250,4
100,0_81,0
101,0_354,1
102,0_748,2
103,0_977,3
104,0_1383,4
105,0_255,0
106,0_726,1
107,0_784,2
108,0_994,3
109,0_1287,4
110,0_15,0
111,0_314,1
112,0_753,2
113,0_1136,3
114,0_1215,4
115,0_21,0
116,0_638,1
117,0_772,2
118,0_1029,3
119,0_1315,4
120,0_92,0
121,0_704,1
122,0_806,2
123,0_1108,3
124,0_594,4
125,0_284,0
126,0_623,1
127,0_902,2
128,0_978,3
129,0_591,4
130,0_71,0
131,0_362,1
132,0_445,2
133,0_574,3
134,0_1357,4
135,0_171,0
136,0_361,1
137,0_519,2
138,0_991,3
139,0_1288,4
140,0_213,0
141,0_654,1
142,0_747,2
143,0_992,3
144,0_1210,4
145,0_218,0
146,0_325,1
147,0_838,2
148,0_540,3
149,0_1265,4
150,0_191,0
151,0_741,1
152,0_913,2
153,0_534,3
154,0_1257,4
155,0_244,0
156,0_321,1
157,0_510,2
158,0_983,3
159,0_1233,4
160,0_115,0
161,0_438,1
162,0_456,2
163,0_1172,3
164,0_1282,4
165,0_129,0
166,0_672,1
167,0_796,2
168,0_1094,3
169,0_1283,4
170,0_156,0
171,0_332,1
172,0_903,2
173,0_980,3
174,0_1227,4
175,0_210,0
176,0_631,1
177,0_837,2
178,0_966,3
179,0_1221,4
180,0_211,0
181,0_678,1
182,0_531,2
183,0_1035,3
184,0_1252,4
185,0_40,0
186,0_624,1
187,0_935,2
188,0_947,3
189,0_1243,4
190,0_235,0
191,0_386,1
192,0_461,2
193,0_1175,3
194,0_1381,4
195,0_16,0
196,0_435,1
197,0_479,2
198,0_1173,3
199,0_1353,4
200,0_104,0
201,0_379,1
202,0_877,2
203,0_542,3
204,0_1316,4
205,0_39,0
206,0_602,1
207,0_943,2
208,0_1028,3
209,0_1447,4
210,0_283,0
211,0_671,1
212,0_914,2
213,0_1155,3
214,0_1271,4
215,0_109,0
216,0_391,1
217,0_462,2
218,0_1140,3
219,0_1323,4
220,0_246,0
221,0_389,1
222,0_882,2
223,0_1159,3
224,0_1343,4
225,0_141,0
226,0_369,1
227,0_844,2
228,0_951,3
229,0_1417,4
230,0_282,0
231,0_296,1
232,0_486,2
233,0_1135,3
234,0_1297,4
235,0_132,0
236,0_402,1
237,0_458,2
238,0_1006,3
239,0_1237,4
240,0_148,0
241,0_642,1
242,0_930,2
243,0_1100,3
244,0_1279,4
245,0_224,0
246,0_728,1
247,0_482,2
248,0_571,3
249,0_1451,4
250,0_114,0
251,0_689,1
252,0_845,2
253,0_1077,3
254,0_1199,4
255,0_264,0
256,0_679,1
257,0_825,2
258,0_1044,3
259,0_1309,4
260,0_91,0
261,0_403,1
262,0_441,2
263,0_1174,3
264,0_1296,4
265,0_254,0
266,0_700,1
267,0_867,2
268,0_1183,3
269,0_1230,4
270,0_87,0
271,0_318,1
272,0_900,2
273,0_1076,3
274,0_1258,4
275,0_257,0
276,0_434,1
277,0_765,2
278,0_1143,3
279,0_593,4
280,0_69,0
281,0_673,1
282,0_827,2
283,0_949,3
284,0_1380,4
285,0_72,0
286,0_661,1
287,0_507,2
288,0_1098,3
289,0_1336,4
290,0_56,0
291,0_682,1
292,0_833,2
293,0_1151,3
294,0_1328,4
295,0_188,0
296,0_366,1
297,0_746,2
298,0_1019,3
299,0_1241,4
300,0_249,0
301,0_323,1
302,0_505,2
303,0_976,3
304,0_1431,4
305,0_49,0
306,0_627,1
307,0_750,2
308,0_1055,3
309,0_1246,4
310,0_180,0
311,0_663,1
312,0_804,2
313,0_566,3
314,0_1251,4
315,0_167,0
316,0_655,1
317,0_853,2
318,0_1049,3
319,0_1448,4
320,0_121,0
321,0_372,1
322,0_767,2
323,0_1130,3
324,0_1418,4
325,0_250,0
326,0_376,1
327,0_478,2
328,0_1079,3
329,0_1222,4
330,0_190,0
331,0_647,1
332,0_808,2
333,0_557,3
334,0_1436,4
335,0_230,0
336,0_633,1
337,0_444,2
338,0_1156,3
339,0_1304,4
340,0_4,0
341,0_393,1
342,0_927,2
343,0_981,3
344,0_1403,4
345,0_82,0
346,0_329,1
347,0_892,2
348,0_560,3
349,0_1226,4
350,0_291,0
351,0_652,1
352,0_814,2
353,0_1138,3
354,0_1350,4
355,0_101,0
356,0_399,1
357,0_898,2
358,0_1180,3
359,0_1372,4
360,0_176,0
361,0_641,1
362,0_465,2
363,0_1075,3
364,0_1337,4
365,0_177,0
366,0_684,1
367,0_883,2
368,0_1038,3
369,0_1413,4
370,0_14,0
371,0_327,1
372,0_494,2
373,0_1115,3
374,0_1414,4
375,0_64,0
376,0_703,1
377,0_775,2
378,0_1037,3
379,0_1379,4
380,0_270,0
381,0_650,1
382,0_857,2
383,0_1054,3
384,0_1369,4
385,0_194,0
386,0_637,1
387,0_924,2
388,0_1163,3
389,0_1197,4
390,0_275,0
391,0_635,1
392,0_880,2
393,0_1031,3
394,0_1204,4
395,0_96,0
396,0_694,1
397,0_921,2
398,0_537,3
399,0_1245,4
400,0_5,0
401,0_388,1
402,0_864,2
403,0_944,3
404,0_1376,4
405,0_214,0
406,0_425,1
407,0_891,2
408,0_1012,3
409,0_1332,4
410,0_1,0
411,0_644,1
412,0_526,2
413,0_1069,3
414,0_1193,4
415,0_90,0
416,0_414,1
417,0_855,2
418,0_1186,3
419,0_582,4
420,0_99,0
421,0_341,1
422,0_894,2
423,0_1001,3
424,0_1206,4
425,0_107,0
426,0_646,1
427,0_492,2
428,0_1067,3
429,0_1223,4
430,0_28,0
431,0_645,1
432,0_932,2
433,0_1164,3
434,0_1320,4
435,0_202,0
436,0_603,1
437,0_859,2
438,0_1018,3
439,0_599,4
440,0_165,0
441,0_407,1
442,0_919,2
443,0_1071,3
444,0_1205,4
445,0_236,0
446,0_614,1
447,0_925,2
448,0_1161,3
449,0_1240,4
450,0_97,0
451,0_409,1
452,0_798,2
453,0_1185,3
454,0_1432,4
455,0_106,0
456,0_605,1
457,0_442,2
458,0_559,3
459,0_1402,4
460,0_219,0
461,0_643,1
462,0_749,2
463,0_1080,3
464,0_1389,4
465,0_9,0
466,0_609,1
467,0_884,2
468,0_1128,3
469,0_1260,4
470,0_289,0
471,0_649,1
472,0_759,2
473,0_959,3
474,0_1303,4
475,0_247,0
476,0_422,1
477,0_459,2
478,0_1015,3
479,0_1314,4
480,0_70,0
481,0_317,1
482,0_938,2
483,0_975,3
484,0_1435,4
485,0_130,0
486,0_420,1
487,0_849,2
488,0_1169,3
489,0_578,4
490,0_196,0
491,0_713,1
492,0_517,2
493,0_1144,3
494,0_1424,4
495,0_18,0
496,0_692,1
497,0_795,2
498,0_1127,3
499,0_1256,4
500,0_152,0
501,0_612,1
502,0_863,2
503,0_1117,3
504,0_1322,4
505,0_38,0
506,0_349,1
507,0_856,2
508,0_1022,3
509,0_576,4
510,0_50,0
511,0_350,1
512,0_513,2
513,0_964,3
514,0_1410,4
515,0_179,0
516,0_371,1
517,0_460,2
518,0_1060,3
519,0_1338,4
520,0_153,0
521,0_707,1
522,0_926,2
523,0_1064,3
524,0_1340,4
525,0_116,0
526,0_697,1
527,0_493,2
528,0_1103,3
529,0_1217,4
530,0_195,0
531,0_662,1
532,0_758,2
533,0_1005,3
534,0_1359,4
535,0_212,0
536,0_297,1
537,0_870,2
538,0_1088,3
539,0_1335,4
540,0_0,0
541,0_365,1
542,0_455,2
543,0_1121,3
544,0_579,4
545,0_43,0
546,0_651,1
547,0_860,2
548,0_1101,3
549,0_1306,4
550,0_34,0
551,0_683,1
552,0_873,2
553,0_1150,3
554,0_1367,4
555,0_237,0
556,0_625,1
557,0_760,2
558,0_1177,3
559,0_1249,4
560,0_200,0
561,0_634,1
562,0_899,2
563,0_1131,3
564,0_1398,4
565,0_174,0
566,0_340,1
567,0_816,2
568,0_533,3
569,0_1365,4
570,0_13,0
571,0_320,1
572,0_497,2
573,0_561,3
574,0_1404,4
575,0_207,0
576,0_725,1
577,0_782,2
578,0_1119,3
579,0_1347,4
580,0_243,0
581,0_690,1
582,0_846,2
583,0_1003,3
584,0_595,4
585,0_68,0
586,0_626,1
587,0_764,2
588,0_1007,3
589,0_1437,4
590,0_162,0
591,0_427,1
592,0_886,2
593,0_974,3
594,0_1364,4
595,0_134,0
596,0_719,1
597,0_909,2
598,0_549,3
599,0_1443,4
600,0_184,0
601,0_408,1
602,0_928,2
603,0_958,3
604,0_1324,4
605,0_41,0
606,0_618,1
607,0_501,2
608,0_552,3
609,0_1450,4
610,0_10,0
611,0_604,1
612,0_524,2
613,0_1120,3
614,0_1394,4
615,0_119,0
616,0_709,1
617,0_797,2
618,0_548,3
619,0_1385,4
620,0_252,0
621,0_382,1
622,0_754,2
623,0_536,3
624,0_575,4
625,0_209,0
626,0_720,1
627,0_842,2
628,0_973,3
629,0_1277,4
630,0_143,0
631,0_390,1
632,0_841,2
633,0_996,3
634,0_588,4
635,0_25,0
636,0_304,1
637,0_865,2
638,0_1125,3
639,0_1236,4
640,0_110,0
641,0_735,1
642,0_515,2
643,0_1017,3
644,0_1377,4
645,0_122,0
646,0_343,1
647,0_904,2
648,0_1020,3
649,0_1267,4
650,0_26,0
651,0_701,1
652,0_850,2
653,0_1184,3
654,0_587,4
655,0_157,0
656,0_676,1
657,0_762,2
658,0_1058,3
659,0_589,4
660,0_89,0
661,0_699,1
662,0_906,2
663,0_1081,3
664,0_1412,4
665,0_263,0
666,0_733,1
667,0_483,2
668,0_995,3
669,0_1255,4
670,0_222,0
671,0_708,1
672,0_468,2
673,0_1106,3
674,0_1203,4
675,0_93,0
676,0_311,1
677,0_452,2
678,0_1122,3
679,0_1400,4
680,0_37,0
681,0_292,1
682,0_912,2
683,0_946,3
684,0_1238,4
685,0_32,0
686,0_740,1
687,0_847,2
688,0_1039,3
689,0_1429,4
690,0_30,0
691,0_387,1
692,0_474,2
693,0_979,3
694,0_1319,4
695,0_231,0
696,0_310,1
697,0_879,2
698,0_1179,3
699,0_1295,4
700,0_54,0
701,0_315,1
702,0_776,2
703,0_1158,3
704,0_1305,4
705,0_248,0
706,0_601,1
707,0_503,2
708,0_1110,3
709,0_1427,4
710,0_2,0
711,0_295,1
712,0_810,2
713,0_1073,3
714,0_1216,4
715,0_273,0
716,0_401,1
717,0_449,2
718,0_538,3
719,0_1425,4
720,0_124,0
721,0_370,1
722,0_470,2
723,0_1102,3
724,0_1351,4
725,0_258,0
726,0_727,1
727,0_885,2
728,0_563,3
729,0_1290,4
730,0_11,0
731,0_357,1
732,0_829,2
733,0_953,3
734,0_1422,4
735,0_66,0
736,0_394,1
737,0_499,2
738,0_962,3
739,0_1235,4
740,0_65,0
741,0_430,1
742,0_940,2
743,0_1061,3
744,0_1415,4
745,0_113,0
746,0_400,1
747,0_941,2
748,0_541,3
749,0_1274,4
750,0_47,0
751,0_417,1
752,0_779,2
753,0_999,3
754,0_1218,4
755,0_137,0
756,0_433,1
757,0_773,2
758,0_1040,3
759,0_1360,4
760,0_168,0
761,0_670,1
762,0_851,2
